,          ,          ,Plataforma de Serviços Fi   ceiros do Sicoob - Sisbr - Plataforma Contábil,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,Data de Emissão:,          
0,,,,,,,,,,,,,,,,,,,,,,,,2022-11-10 16:34:06,
1,0300 - SICOOB CONFEDERAÇÃO,,Relatório Mecanismo Contábil,,,,,,,,,,,,,,,,,,,,,Hora de Emissão:,
2,,,,,,,,,,,,,,,,,,,,,,,,2022-11-10 16:34:06,
3,Filtros:,,,,,,,,,,,,,,,,,,,,,,,,
4,Plano Contábil:,COOPERATIVAS SINGULARES,,,,,,,,,,,,,,,,,,,,,,,
5,Cooperativa:,Não informada,,,,,,,,,,,,,,,,,,,,,,,
6,Pesquisar Por:,Produto,,,,,,,,,,,,,,,,,,,,,,,
7,Produto:,,,,,,,,,,,,,,,,,,,,,,,,
8,Produto,Desc. Produto,Op. Fin.,Desc. Operação Fi   ceira,Perfil,Desc. Perfil,Lanc. Contábil,Desc. Lançamento Contábil,Valor,Desc. Valor,Sinal,Conta Contábil Valor,Desc. Conta Contábil Valor,Prim. Arg.,Desc. Primeiro Argumento,Valor Prim. Arg.,Desc. Valor Primeiro Argumento,Seg. Arg.,Desc. Segundo Argumento,Valor Seg. Arg.,Desc. Valor Segundo Argumento,Conta Contábil Referência,Desc. Conta Contábil Referência,Hist. Contábil,Desc. Histórico Contábil
9,12,INTERCREDIS,1,DÉBITO INTERCREDIS,44,PERFIL INTERCREDIS,1783,DÉBITO INTERCREDIS,69,VALOR DA OPERAÇÃO APURADA EM CONTA CORRENTE,D,353,TRANSITÓRIA INTERCREDIS,0,,,,0,,,,1.8.8.92.20.045-7,TRANSITÓRIA INTERCREDIS,23052,VALOR REF. DÉBITO INTERCREDIS
10,12,INTERCREDIS,1,DÉBITO INTERCREDIS,44,PERFIL INTERCREDIS,1783,DÉBITO INTERCREDIS,69,VALOR DA OPERAÇÃO APURADA EM CONTA CORRENTE,C,2446,TRANSITÓRIA CONTA CONVÊNIO - INTERCREDIS,0,,,,0,,,,1.8.8.92.00.181-4,TRANSITÓRIA CONTA CONVÊNIO - INTERCREDIS,23052,VALOR REF. DÉBITO INTERCREDIS
11,12,INTERCREDIS,2,CRÉDITO INTERCREDIS,44,PERFIL INTERCREDIS,1784,CRÉDITO INTERCREDIS,69,VALOR DA OPERAÇÃO APURADA EM CONTA CORRENTE,D,2446,TRANSITÓRIA CONTA CONVÊNIO - INTERCREDIS,0,,,,0,,,,1.8.8.92.00.181-4,TRANSITÓRIA CONTA CONVÊNIO - INTERCREDIS,23053,VALOR REF. CRÉDITO INTERCREDIS
12,12,INTERCREDIS,2,CRÉDITO INTERCREDIS,44,PERFIL INTERCREDIS,1784,CRÉDITO INTERCREDIS,69,VALOR DA OPERAÇÃO APURADA EM CONTA CORRENTE,C,353,TRANSITÓRIA INTERCREDIS,0,,,,0,,,,1.8.8.92.20.045-7,TRANSITÓRIA INTERCREDIS,23053,VALOR REF. CRÉDITO INTERCREDIS
