,Tabela CR1: Qualidade creditícia das exposições,          ,          ,          ,          ,          
0,Frequência: Semestral,,,,,
1,Data de Atualização: 31/12/2021,,,,,
2,,,,,,
3,,,,,,R$ mil
4,,,2020-06-30 00:00:00,,,
5,,,a,b,c,g
6,,,Valor Bruto,,"Provisões, Adiantamentos e rendas a apropriar",Valor Líquido
7,,,Exposições caracterizadas como operações em curso anormal,Em curso normal,,
8,1,Concessão de crédito,0,514891.55472,169.84001,514721.71471000003
9,2,Títulos de dívida,,,,
10,2a,dos quais: títulos soberanos nacionais,,,,
11,2b,dos quais: outros títulos,,,,
12,3,Operações não contabilizadas no balanço patrimonial,0,103351.29168,,103351.29168
13,4,Total,0,618242.8464,169.84001,618073.00639
